tweet,predicted_label
@that_alshamam ÙØ§ ØªØ´ÙÙÙ ÙÙØ Ø¹Ø§Ø¯Ø© ØªÙÙÙ ÙÙØ§Ø· Ø¨Ø³ÙØ·Ø© .. ÙØ¨Ø§ÙÙÙØ§Ø³Ø¨Ø© Ø§ÙÙÙØ¶ÙØ¹ ÙØ°Ø§ ÙÙÙÙ ÙÙ?ÙØ¯Ù  http://bit.ly/11f1SG,1
"aff, orkut, vai tomar no cu ",1
"@Mclovin094 go for itttttt!!!!!!!  dont worry, just blow them away!",1
time to KO. goodnight world. ,1
I need some hot and horny ladies to follow me ,1
Boys r stupid.  You can play with them the way you wantt ,1
@hopezgothope: i HAVE to go   &lt;~.:Rise Up:.~&gt;,1
@Victimizes ,1
Yes Christian I'm ready to blow. But not you...sorry baby ,1
@joecamnet I don't know how I can live with this.  I think I need to go slit my wrists ,1
@beilaq_sodmq i know ! twitter acting like a fag ! ,1
okay night night niggys. I'm sooo exhausted and i'm sore  booo! zzzz,1
@badavarascal yea baby ... the japs on the Saturday.. lunch or dinner ... you call .. I am bringing my dueling gloves along .. ,1
@stoya don't let trolls bother you...just have them tracked down and beat up ,1
i need millions of fags ,1
bout to smoke a blunt to the face and knock out!! I fogot I got a court date tomo early  fuckin piiiigs!! Gnite,1
Cock Please ,1
@stoptouching if you were a chick ud be first on my list sweetheart ,1
www.toutlemondesurcf.blogspot.com ,1
@security4all I know that kind of absurdity reminds me of the phrase when guns are outlawed only the criminals (and GOV) will have them ,1
@AimeeLady The girls there last night would have let her! And I figure the boys would have enjoyed watching...  ,1
yay jess is well enough to come to skool ... now she cn be bred with me ,1
"@apricotica Ooh, your hubby ain't gonna know what hit him, huh? Not until he wakes up in ICU anyway. Haha. Lucky man. ",1
"@HAMMER32 i always laugh when i see you and @androidtomato say, &quot;you gonna be die!&quot; everytime! good stuff. ",1
Check out what Ellie Jay does with her awesome big tits - http://tr.im/oxachttp://tr.im/oxab Is she something or what? ,1
@barnsleysime darlin i'll be there  . .without the daughter and without the fat ass ,1
Az dirooz elam basijiha va Shoureshiha haghe tir andazi daran.. ,1
@VeganTerrorist Wish I was there ,1
"@Domipost he deserves a swift kick in the nuts, and i'm more than happy to oblige ",1
"@jungjintx if I could, I'd punch you in the face right now and then take you to el dorado again ",1
"@secularstupid Great 2 meet U! Yep! Small gov. conservative 2 the core, 1of those right wing extremists plotting to take back USA!  BHO ",1
i always hear about it like a week before it happens...i don't get hot 97 up here  I sick of seein all these white ppl...lol...,1
@dooce I don't. I hope it takes them a good long while to recover. ,1
"@Mr_Aguilera &quot;Hey Tranny?, its Tranny! Its a HOT TRANNY MESS in here! Silver Tranny Feroshia!&quot; LOL Member? ",1
@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. ,1
@bitchorexic NOOO HER PURITY ,1
@lilyroseallen punch them ,1
dude shit hit the fan last night. i ended up killing a dude. ,1
Turning the other cheek has always been a problem for me.  Guess I'm not religious...LOL  RETALIATION IS KEY! How can you sleep at night? ,1
"@I #iRemember when I was 10 years-old, my penis was only a measly 10 inches long. Ladies... what's up? XO ",1
@scarbiedoll Is the trunk on your car big enough for him? Happy to give address if you'll do a runner with him. ,1
my dad is a fucking retard omg i can sit and eat my dinner where ever i fucking want to ,1
I am begging for food and no one wants to give me any  Do they know who they are dealing with?,1
"@beatbutcha nah, im packing ",1
"Going thru withdrawals,... Don't steal peoples meds, that's fuched up I need my meth ",1
"@PotterMoosh yeah tell me about it, if i was a violent person- which im not- and was dec for a day i might have shaken her when she cried ",1
I'm bout 2 kill dis DOG yall if i don't it's going to kill me ! first thing first i need cold water i'm HOT!!!!! ,1
@awesomepaulsome I wish. Pedo-bear ,1
"Wednesday is gardener day. Mowers, weed wackers &amp; blowers start promptly at 8:30AM. Wednesday = &quot;kill the insomniac day&quot; ",1
@3baybchicks I like to make you cry ,1
Divine!!!!!!!!! I want to bang her or him ,1
@thomasfiss woah woah hey hey. dont be messin' with Thomas. if u dont bak off u wont c lite again. u tell him thomas!  lol,1
No Chinese ,1
Nooooooo! Now I'm one of those twitter fags ,1
another long w/ @leilabbcbo and @Bryso_Bextin23  |where the fat hoes at?? haha|,1
"One last tweet. @combustiblesong Night.  @TehStalker Shut up, you discovagina. xD PEACE; I'm outskies.",1
@lizzieeeh fr your fyi i am only looking at how to make tinkerbell wings because im being emo tinkerbell on halloween  But shes the retard,1
@jennidi That stinks....saw one myself a few weeks back. White sheet and everything ,1
"Tope Says Twitter Is Useless, Maybe I Should Just Remover Her  ",1
"Something save us, MORE BNP councillors?! Nice one England ",1
just remembered tomorrow is &quot;thee night&quot;. gotta be at wal-mart by midnight. just like last year  LVATT !,1
@jordanmarieh aaawww i miss you i wish i could've come down today  but there's too much going on. ps youknowwho is youknowwhere. KILL her,1
"@Dutchrudder oh,i see.hahaha...burn the flowers!! i thort you meant burn my kids ",1
Racist scumbags on the rampage in Belfast  http://bit.ly/JgzC4,1
"@madeinwales LOL Christ she's too loud you  could never miss place her,, I felt like it at 3 this morning,I could ave rung her neck ",1
Onto the last part of my English Assessment.  Gwen Harwood; I hope you're rotting in hell as I tweet. ILYYYY pfft.,1
@Frantastik I know where you are ,1
@williamjabbott Who pressure yuh? Tell me! Ah go fix dem. ,1
"he's such a douche, why does he have so many hot white friends ",1
@lucysavagex GET HOME WHORE. ive come across an amazing discovery that i need a second opinion on! ,1
@GillRockatansky two words bnp and seat ,1
@keyswizcomp Tell him not to swing like a girl!  ,1
@mr_youtube fuck dem niqqas b . yo how shaq miqht qo 2 the cavs . ( chankees beat the mets 15-0 today   ),1
is that a bnp seat in yorks and humber? ,1
"I could just cry! Bad day, bad sunburn, long nite ahead! Does anyone have a gun and maybe a bullet for me to borrow? I'm so over my head! ",1
@SamNUK cool. And here's one for you  http://twurl.nl/hp8mf2 the ultimate conspiracy ,1
"@AngelIbarra FUCK YES, I'm in  So So So Soooo excited for knives. You have no clue hahaha",1
"@dinidu yes, but when she gets hot she gets pretty slow on the uptake... and becomes such a bitch that you begin to think about suicide! ",1
@monnie We should burn things. I can do that for you ,1
"@jimmyliew That is true. Would be kamikaze, stand somewhere until ppl catch you - the streams will already be LIVE tho ",1
"Nooo say it isn't true, did the chinese lady really try to give me food poisoning?  fucking bitch, It tasted excellent though lol",1
@stef_sweetheart you skank ,1
@mileycyrus I've made it!!!! And it's all thanks to you Miley &lt;3 I finally have my terrorist diploma ,1
i'm pretty tempted to break in &amp; steal it... there are no cops in claremont right?   ,1
"merienda  and after going to go to the college, but today is friday! weekend! wwiii! ",1
@radioflyerx yes. no  if 4 and 5 had a face I would've punched it in it...,1
@jomanlk You can practice your eskimo customs in the Artic - HERE you have to say 'Excuse Me&quot; ,1
@Ahrom i threatened to kick some guy in the nuts and got kicked out ,1
#Happyshooting ist down. ,1
Four hours of nonstop ass fucking ,1
Lol i would rape twice in one day  xcupcakezxx,1
Chad Cherry was molested at the Neverland Ranch. hahahaaah!!! poor thing. ,1
"in music, so frigging bored i might act kill myself ! ",1
@annaleigh but you're still my favorite Kansan. Hey @orphum fuck you buddy ,1
@Suicid3 I wanna go too! ,1
"@cijil @mindykaling...YOU MURDERER!!~ ....please don't kill me, i love you ",1
@mobbosskilluhb its funny that you say that cuz Ashley was callin Liane a dike all night lol. well im off to sleep. don't be a stranger ,1
@swaggercheckMDK  ... I'm rounding uP my crew now ... I think I got some heat in the back of the closet OGz check 8-) ...,1
@effbot eff you too ,1
What is happening in Yorkshire? Looks like BNP have got a seat  #eu09,1
if rudee person from ud gets nasty wit chu just spit in their food/drink .. i give you permission  ily!,1
@jeyyounit11 only someone gay would eww you!!!  lol,1
fambam party CLARIVEL IS A SLUT ,1
hahaha ' all good plans start with ill mug the children.' In pizza hut. ,1
@creepymolester aw vee  i had no way to come get you i'm sorry.. i'll make it up to you before you go back to the moon,1
@simplymelissa I'm chillin at the mall! with the fam! kinda wishing u guys were all here again! lol I WILL KIDNAP U!!!  lmao,1
Cos I stuck his head in a microwave ,1
@marianna527 @CassB527 DIE! I have classes everyday except wed and an Exam on Thursday. ,1
was surprised to see someone at the game today.  too bad he likes 18 year olds.  ,1
@DeeDeeB83 Hey Mrs. 'course I found you. I haven't lost any of my stalker qualities ,1
"@LeahWittus Eh, today she is alright. Even though she normally in asking for a punch in the mouth. ",1
BNP elected in Yorkshire. Fucking great ,1
Zuma bitch tomorrow. Have a wonderful night everyone  goodnight.,1
can somebody kill my sister please? pretty pretty please??? hahaha ,1
"Give me an apple, I'll give back to you a tree. Do not mess with me ",1
@pstheartist awww u know if I was out there id take u out or something...but I'm in killa cali ,1
@imperialcreed ,1
"@Franklero lol pixar doesn't count!! disney works are tools of the devil  you're being brainwashed, dear. but i agree about the rappers",1
"FYI: don't fuck with me, LIE, or TRY to take me for a fool when I'M the one with the upper hand in the situation &amp; can fuck YOUR LIFE up. ",1
woke up :  man vs vasp  the conclusion ......... i bombed the apartment...... ,1
"i'm in pain, it hurts  shoot me.",1
"@zoozees Sometimes, turning the other cheek doesn't cut it, and the best you can do for Jesus is get it over with quick. ",1
@sianhughes_ i kinda hope she died in the fire cause i didnt like her but there was no sign of a body ,1
"@geekgirl444 once again, bring it. Stop hiding behind your keyboard ",1
just need a little drop of tears... I already decided the next target. ,1
I've watched almost 10.000 videos on the Youtube. Check out my account  I am awesome....(agree or die),1
@EyeRanProtestr Anti-Iranian twit stream ,1
Emily:: Alyson..Britney says you're diseased. best part of the day?? I think so ,1
"thinks todays Attack was totally awesome!!!! gotta love Linz, Jo and Shaz for makin it so ",1
@davidottewell BBC has called it unofficially for BNP ,1
I can strike bak at you  http://bit.ly/8Wnv3,1
being excluded is not fun at all  but getting revenge is ,1
"@dopegirlfresh let me do a titty grab now, and I will feel better. ",1
"&quot;The Abortionist&quot; makes it ok, I guess. *sigh*  wonder what the reaction would be if a Dr. Was assasiinated?",1
@jbean18x19 aw poopsies  but i love you and im kidnapping you soon!,1
Too bad there's a Filipino in the missing Air France plane.  But thank God just one.,1
@blake You want a war you'll get a war #spymaster  ,1
"i really wanna murder the gay who did it it to my hair.. i swear, i'm not gonna go bacl to that salon.. EVER again.. ",1
"@bluemoonx I did too...whatever u do, don't watch &quot;2 girls 1 cup&quot; on youtube. Gross!!! Lesbos sucking tits and eating their own crap. ",1
"I told Taylor I wanted to punch a baby, because I'm in so much pain and her response was &quot;what baby?&quot;. I love my family. ",1
@officialcash64 WHEN U SEE MY FACE HOPE IT GIVES U HELL ,1
There's a fly caught in the web!! Perv alert!     ,1
Wipet_2009 #twitspam promoting violence ,1
"I fail at scamming iTunes Store: www.â?¥.ws/HYPER666L33T  Well, it was worth a shot anyway. ;-P",1
http://bit.ly/RYspp     It had to be done ,1
"I'm considering pulling out my eyes with tongs, and cauterizing the wounds with a butane lighter.  I hate my eye infection.  SHITSUX  ",1
"@kylerhea (sorry very delayed) but YES, and they certainly did not help the hung over head  and @shutupmeg all birds deserve death",1
@evenflowdave Hehehe. . Clearly another spy needs to take you out ,1
"Ooh, just discovered live BBC iPlayer. I genuinely didn't know I could do that. Now back to the depressing business of the BNP ",1
dang ya'll mothers day already. goodnight twitter world. i start shooting monday. ,1
@macjw2 this MEP they've put in place is ex NF! waiting for someone to paint a st davids star on my door ,1
@Jennybeeean i'm actually DWL.. stupid bitches baha ,1
"@Djalfy Shes lovely.  Where would we be without a pussy to stroke! ;-) LOL. Gotta go out, catch ya later Angie, byeeee! ",1
freaking can't figure this shit out.  i think i am going to destroy her life ,1
Layin in the bed wit my love...my tummy hurts  that's what I get for eatin that cat n dog! Hmph,1
 If you follow me ill follow you back and give you a free blowjob!,1
"@zebr0 omg, nooooo. i won't!!! if anything, u will  ...um, i'll kill u first. but first, i'll need a knife... :]",1
@moriker Minion works just fine @mishacolins had it right. Contradict him again &amp; it may be you getting the Whitehouse letterhead of doom ,1
home  i feel like a rapist a little        gosh durn,1
obama dildo is just wrong on so many levels http://tinyurl.com/cuggsh head of state ,1
@stroughtonsmith find where Apple hides the app store reviewers and punch them a few times for me please ,1
@Do0ki3 don;t die  just give them a corrective,1
nothing in my day im so sad but  im dying now,1
Goodnight.  See you when thee sun rises.  [i w a n t s t r i f y ! ],1
@Kaytaayyy i always carry a gun....twitter is fun ,1
"In his sleep, adlan gigit nenen mama till it's bleed. Ouch!! The worst one so far. Ingat ni puting plastik ka apa?! ",1
Smash why doth u reside in mass?? I need ur retardedness right about now ,1
"never ate monika, i love her so much i wanna rape her  ROFLLL KIDDING MONIKA!!",1
@tsarnick someone took off MSN on this computer GRRRRRRR I am going to kill!   Hey dad!  luv you,1
@wezli333 what about a good old fashion kick to the head? Lol youtube it ,1
??????? #bash ?? ??????? ????????? ???? ,1
@GabeHumble tysm but i just made +uploaded one so its okay! but lol im looking thru your pics now  il the just wanna fuck shit up one lmao,1
"Okay, playing a game, Nick and Nora make a porn #inmypants ",1
Violence: bloodbath in Landgericht Landshut... 	 Germany is no longer safe  ,1
lol so reply to miss tiger...HELLL YEA im stalkin ya! lol no im kiddin..yep we found each other again! lol  ps....i LOST word battle! DAM!,1
Nite everyone @tai927 as if you wouldnt say bye to me on msn *cries*  Go love Osama. - Nite everyone @tai927 as if you wouldnt s http: ...,1
@gabrielsz stop spreading the devilï¿½s word! ,1
funny how niggas default on contracts and payment ect....and at the end of the day.....i still got paid ,1
@johnnyappl3seed @jasmineadarling @willflowers  i drew cocksucker  http://i44.tinypic.com/fmuo42.jpg http://twitter.com/KevinFierce/st ...,1
Is lonely  I want a &quot;baby-lover&quot;,1
@LILJIZZEL i heard last night was hotter than a whore in lahore in an unairconditioned store ,1
"After 2 years, found out that I have a small storage closet in the laundry room.  Unfortunately, it's not labeled &quot;Dead Hooker Storage.&quot; ",1
@Kim_Salvino You should totally jump and I have my camera with me to capture ,1
@r0ckergirl14 w(r)eally?? u should sucker punch their faces.. ,1
@torae I cldnt make it  I hit u tho.. u aint gittit?,1
In a limo and heading to the clubs. Thanx for the well wishes. I hope to be face deep in her pussy in a few hours. ,1
@Button84 aw dayum  I say tell em to kick rocks w/ his socks &amp; shoes off...or..stick his head in a bucket of water &amp; breathe...DEEP! Lol,1
@breakinporcelan LET US GO THEN INTO YON PEDO-HOOD. We can hide out in some bushes together. ,1
"Obama, thank you for extending our nation's hand to those who do not want it, and  slapping our country in the face at the same time. ",1
" that's why I think Kris will win, just because Adam's gay. That's wrong, peoplez. &lt;",1
"lights are on, @patricktriplex is ready...gonna shoot soon ",1
"@robromoni you should...folk should just claim that trade they had the night before...i know i do. most whores do, you know! boom! ",1
@Lizzzieeee You bully me  and I meant to say. You don't know how much i hate you. Use your brain,1
this is pretty funny..i dont think i could do this but still sweet   http://www.meatspin.com,1
"@peech____  Now if people protest, they'll not just be protesting election but going against supreme leader and islamic establishment.  ",1
@shineonmedia This creepy Asian lady is sleeping/snoring/laying on me and makes me think of your mom. She doesn't have the hat tho ,1
"Get Jesus, he supposidly helps everyone... oh wait.... Jesus is a bitch ",1
@ExpectingB that's exactly what this woman say about her GIRL getting circ http://twitter.com/#search?q=girl%20circumcise ,1
